##################################################################################
# Grid of water world sub-Neptune atmospheric escape models 
#   wind-ae (Broome+2025)
#
# Atmosphere Composition
#  HI: 1.12e-01
#  OI: 8.88e-01
#
# Parameters:
#   Mp: planet mass (M_earth)
#   Rp: planet radius (R_earth)
#   grav: planet gravity (m/s^2)
#   Teq: equilibrium temperature (K)
#   a: semi-major axis (au)
#   Fxuv: total XUV flux at planet's orbit (Fuv_earth)
#   mstar: stellar mass (Msun)
#   lstar: stellar luminosity (Lsun)
#   Mdot: atmospheric mass-loss rate (kg/s)
#   Mdot_OW17: atmospheric mass-loss rate from Owen & Wu 2017 (kg/s) [IGNORE FOR NOW]
#   ramp_to: 0- ramp success, else- ramp failed
#   run_wind: sim.run_wind() output. 0- wind launched, else- wind failed
#   rochelim: 0- planet outside Roche limit, 1- planet within Roche limit
#
# Created: November 03, 2025
# Units: SI, astronomical
# Pure H2O atmosphere, no conductive or bolometric heat/cool, static bcs.
##################################################################################

Mp	Rp	grav	Teq	a	Fxuv	mstar	lstar	Mdot	MdotOW17	ramp_to	run_wind	rochelim
0.20000	0.61678	5.150000	400	0.01644	7.33145e-02	0.100	0.00115	0.00000e+00	6.06290e+07	10	1	1
0.20000	0.61678	5.150000	400	0.01644	9.82388e-01	0.100	0.00115	0.00000e+00	6.06290e+07	10	1	1
0.20000	0.61678	5.150000	400	0.01644	1.31636e+01	0.100	0.00115	0.00000e+00	6.06290e+07	10	1	1
0.20000	0.61678	5.150000	400	0.01644	1.76388e+02	0.100	0.00115	0.00000e+00	6.06290e+07	10	1	1
0.20000	0.61678	5.150000	400	0.01644	2.36354e+03	0.100	0.00115	0.00000e+00	6.06290e+07	10	1	1
0.20000	0.61678	5.150000	400	0.04070	7.33145e-02	0.220	0.00707	0.00000e+00	4.35730e+07	10	1	1
0.20000	0.61678	5.150000	400	0.04070	9.82388e-01	0.220	0.00707	0.00000e+00	4.35730e+07	10	1	1
0.20000	0.61678	5.150000	400	0.04070	1.31636e+01	0.220	0.00707	0.00000e+00	4.35730e+07	10	1	1
0.20000	0.61678	5.150000	400	0.04070	1.76388e+02	0.220	0.00707	0.00000e+00	4.35730e+07	10	1	1
0.20000	0.61678	5.150000	400	0.04070	2.36354e+03	0.220	0.00707	0.00000e+00	4.35730e+07	10	1	1
0.20000	0.61678	5.150000	400	0.05815	7.33145e-02	0.300	0.01442	0.00000e+00	2.28167e+07	10	1	1
0.20000	0.61678	5.150000	400	0.05815	9.82388e-01	0.300	0.01442	0.00000e+00	2.28167e+07	10	1	1
0.20000	0.61678	5.150000	400	0.05815	1.31636e+01	0.300	0.01442	0.00000e+00	2.28167e+07	10	1	1
0.20000	0.61678	5.150000	400	0.05815	1.76388e+02	0.300	0.01442	0.00000e+00	2.28167e+07	10	1	1
0.20000	0.61678	5.150000	400	0.05815	2.36354e+03	0.300	0.01442	0.00000e+00	2.28167e+07	10	1	1
0.20000	0.61678	5.150000	400	0.14646	7.33145e-02	0.550	0.09151	0.00000e+00	3.44783e+06	10	1	1
0.20000	0.61678	5.150000	400	0.14646	9.82388e-01	0.550	0.09151	0.00000e+00	3.44783e+06	10	1	1
0.20000	0.61678	5.150000	400	0.14646	1.31636e+01	0.550	0.09151	0.00000e+00	3.44783e+06	10	1	1
0.20000	0.61678	5.150000	400	0.14646	1.76388e+02	0.550	0.09151	0.00000e+00	3.44783e+06	10	1	1
0.20000	0.61678	5.150000	400	0.14646	2.36354e+03	0.550	0.09151	0.00000e+00	3.44783e+06	10	1	1
0.20000	0.61678	5.150000	400	0.48417	7.33145e-02	1.000	1.00000	0.00000e+00	3.07888e+05	10	1	1
0.20000	0.61678	5.150000	400	0.48417	9.82388e-01	1.000	1.00000	0.00000e+00	3.07888e+05	10	1	1
0.20000	0.61678	5.150000	400	0.48417	1.31636e+01	1.000	1.00000	0.00000e+00	3.07888e+05	10	1	1
0.20000	0.61678	5.150000	400	0.48417	1.76388e+02	1.000	1.00000	0.00000e+00	3.07888e+05	10	1	1
0.20000	0.61678	5.150000	400	0.48417	2.36354e+03	1.000	1.00000	0.00000e+00	3.07888e+05	10	1	1
0.20000	0.61678	5.150000	675	0.00577	7.33145e-02	0.100	0.00115	0.00000e+00	8.27775e+08	10	1	1
0.20000	0.61678	5.150000	675	0.00577	9.82388e-01	0.100	0.00115	0.00000e+00	8.27775e+08	10	1	1
0.20000	0.61678	5.150000	675	0.00577	1.31636e+01	0.100	0.00115	0.00000e+00	8.27775e+08	10	1	1
0.20000	0.61678	5.150000	675	0.00577	1.76388e+02	0.100	0.00115	0.00000e+00	8.27775e+08	10	1	1
0.20000	0.61678	5.150000	675	0.00577	2.36354e+03	0.100	0.00115	0.00000e+00	8.27775e+08	10	1	1
0.20000	0.61678	5.150000	675	0.01429	7.33145e-02	0.220	0.00707	1.30161e+04	4.42566e+08	1	0	0
0.20000	0.61678	5.150000	675	0.01429	9.82388e-01	0.220	0.00707	1.58269e+05	4.42566e+08	1	0	0
0.20000	0.61678	5.150000	675	0.01429	1.31636e+01	0.220	0.00707	1.37038e+06	4.42566e+08	1	0	0
