# Planet/200	Mp (kg)	Rp (m)	Core M (kg)	Surface Radius (m)	Teq (K)	WMF	gravity(m/s^2)	scale height (m)	lambda	sep (m)	period (days)	G-Star Type	Mstar (kg)	Lstar (W)	Fxuv (W/m^2)
1	1.11186e+25	1.38545e+07	8.50648e+24	7.00875e+06	951.847	2.34930e-01	3.86592e+00	113633.836	121.9	2.45556e+09	1.14367	1	8.96719e+29	1.41076e+25	7.72609e+02
2	2.25994e+25	1.63849e+07	1.26947e+25	7.84576e+06	922.752	4.38273e-01	5.61821e+00	75801.867	216.2	3.03653e+09	1.47321	1	1.02190e+30	1.90536e+25	6.58541e+02
3	3.50962e+25	1.57122e+07	2.42997e+25	9.32786e+06	935.139	3.07626e-01	9.48797e+00	45487.915	345.4	3.73951e+08	0.11137	0	3.33947e+29	3.04800e+23	1.15363e+03
4	2.63834e+25	1.69241e+07	1.38385e+25	8.03107e+06	1391.994	4.75485e-01	6.14758e+00	104502.315	161.9	6.87100e+08	0.19528	0	6.73816e+29	5.05209e+24	3.99722e+03
5	1.56508e+25	1.43280e+07	1.14656e+25	7.61575e+06	972.745	2.67414e-01	5.08807e+00	88234.514	162.4	1.09382e+09	0.41772	0	5.94110e+29	3.05332e+24	1.01353e+03
6	4.20462e+25	1.47783e+07	3.43117e+25	1.01864e+07	646.655	1.83953e-01	1.28489e+01	23227.304	636.2	9.70822e+09	6.92177	1	1.51282e+30	4.69733e+25	1.42947e+02
7	5.35971e+25	1.72340e+07	3.33533e+25	1.01069e+07	1234.554	3.77705e-01	1.20436e+01	47309.409	364.3	4.84070e+07	0.00753	0	1.58620e+29	1.55145e+22	5.14522e+03
8	8.73397e+25	1.60670e+07	7.54654e+25	1.22894e+07	920.320	1.35955e-01	2.25802e+01	18810.673	854.1	4.05796e+08	0.12434	0	3.42363e+29	3.36706e+23	1.06866e+03
9	1.24722e+25	9.74454e+06	1.23786e+25	7.78661e+06	1098.958	7.50206e-03	8.76610e+00	57858.572	168.4	3.51429e+09	1.47865	1	1.57247e+30	5.13431e+25	1.18019e+03
10	8.30047e+25	1.59364e+07	7.16936e+25	1.21488e+07	1274.412	1.36271e-01	2.18126e+01	26964.717	591.0	1.44208e+09	0.50333	1	9.37712e+29	1.56352e+25	2.45265e+03
