# Planet/200	Mp (Me)	Rp (Re)	Core M (Me)	Surface Radius (Re)	Teq (K)	WMF	gravity(m/s^2)	scale height (m)	lambda	sep (au)	period (days)	G-Star Type	Mstar (Msun)	Lstar (Lsun)	Fxuv (W/m^2)
1	1.86178	2.17462	1.42439	1.10010	951.847	0.23493	3.86592	113633.836	121.9	0.01641	1.144	1	0.45107	0.03685	772.60931
2	3.78423	2.57179	2.12570	1.23148	922.752	0.43827	5.61821	75801.867	216.2	0.02030	1.473	1	0.51403	0.04977	658.54101
3	5.87680	2.46620	4.06894	1.46411	935.139	0.30763	9.48797	45487.915	345.4	0.00250	0.111	0	0.16798	0.00080	1153.62897
4	4.41784	2.65643	2.31723	1.26057	1391.994	0.47548	6.14758	104502.315	161.9	0.00459	0.195	0	0.33894	0.01320	3997.22274
5	2.62070	2.24894	1.91989	1.19538	972.745	0.26741	5.08807	88234.514	162.4	0.00731	0.418	0	0.29885	0.00798	1013.52907
6	7.04055	2.31961	5.74542	1.59888	646.655	0.18395	12.84893	23227.304	636.2	0.06489	6.922	1	0.76097	0.12271	142.94659
7	8.97474	2.70507	5.58494	1.58639	1234.554	0.37770	12.04358	47309.409	364.3	0.00032	0.008	0	0.07979	0.00004	5145.21775
8	14.62486	2.52190	12.63654	1.92896	920.320	0.13596	22.58018	18810.673	854.1	0.00271	0.124	0	0.17221	0.00088	1068.65927
9	2.08844	1.52951	2.07278	1.22220	1098.958	0.00750	8.76610	57858.572	168.4	0.02349	1.479	1	0.79098	0.13413	1180.18524
10	13.89898	2.50140	12.00495	1.90689	1274.412	0.13627	21.81258	26964.717	591.0	0.00964	0.503	1	0.47169	0.04084	2452.64912
11	1.65748	2.40130	1.09703	1.02338	1353.208	0.33813	2.82258	221264.358	69.1	0.00786	0.384	1	0.43852	0.03454	3180.52919
12	2.71580	1.55796	2.70270	1.31163	945.100	0.00482	10.98686	39700.596	250.0	0.02888	2.101	1	0.72824	0.11091	659.89563
13	11.20474	2.62871	8.20299	1.74484	1463.334	0.26790	15.92238	42415.908	394.8	0.00388	0.154	0	0.32765	0.01152	4962.81135
14	3.83368	2.10569	3.21642	1.37478	603.229	0.16101	8.49023	32791.053	409.1	0.01701	1.524	0	0.28266	0.00638	154.03727
15	7.01639	2.87180	3.11357	1.36400	1059.617	0.55624	8.35402	58539.169	312.5	0.01948	1.250	1	0.63077	0.07969	1083.54806
16	5.27081	2.41346	3.73721	1.42935	1386.726	0.29096	8.88561	72027.210	213.5	0.00496	0.215	0	0.35093	0.01517	3871.34727
17	18.28769	3.08383	10.29206	1.84108	768.608	0.43721	18.88286	18785.817	1045.8	0.05495	4.989	1	0.88933	0.17562	273.77621
18	17.01472	3.24515	6.96724	1.67390	789.758	0.59052	15.86524	22974.214	899.9	0.03720	3.216	1	0.66413	0.08973	329.78268
19	16.69860	3.15022	8.01795	1.73631	1126.967	0.51984	16.52305	31478.507	637.6	0.02311	1.421	1	0.81460	0.14352	1295.04648
20	4.01099	2.15551	3.28596	1.38207	574.264	0.18076	8.47702	31265.215	439.2	0.01251	1.064	0	0.23077	0.00284	139.86307
21	7.21429	2.28201	6.06750	1.61865	1396.350	0.15896	13.60342	47373.914	306.9	0.00073	0.020	0	0.13548	0.00034	6399.50504
22	18.62435	3.16008	9.52417	1.80570	948.967	0.48862	18.31367	23914.911	841.9	0.03786	2.793	1	0.92804	0.19370	629.09150
23	18.66236	2.51855	17.19242	2.06865	645.910	0.07877	28.89048	10318.355	1555.1	0.06153	6.547	1	0.72509	0.10981	144.13020
24	2.88599	1.68366	2.81326	1.32628	1305.096	0.02520	9.99722	60249.892	178.0	0.00353	0.145	0	0.27862	0.00603	3398.89572
25	5.25397	2.05599	4.74773	1.52039	658.437	0.09635	12.20489	24898.492	526.1	0.06420	6.736	1	0.77794	0.12909	152.75554
26	6.65928	2.39728	5.05827	1.54487	911.823	0.24042	11.37838	36984.808	413.0	0.02676	1.998	1	0.64022	0.08247	591.78145
27	16.83658	2.44362	15.66308	2.02809	1310.472	0.06970	27.68701	21844.627	712.7	0.01402	0.732	1	0.68563	0.09655	2478.91026
28	6.39112	2.66770	3.66135	1.42140	1403.130	0.42712	8.81847	73434.108	231.4	0.00160	0.052	0	0.20154	0.00165	5334.03331
29	12.41253	2.52394	10.23861	1.83861	609.047	0.17514	19.13339	14691.016	1094.5	0.04880	5.383	1	0.53516	0.05461	123.62423
30	11.42984	2.24247	10.72973	1.86124	1047.353	0.06125	22.31920	21657.454	659.7	0.00405	0.192	0	0.23940	0.00328	1519.50336
31	13.65728	2.58305	11.11765	1.87587	1339.655	0.18595	20.09970	30760.724	535.0	0.00888	0.442	1	0.47909	0.04233	2982.11965
32	4.81683	2.16551	4.02695	1.45971	890.221	0.16398	10.08625	40734.381	338.7	0.01035	0.674	0	0.32532	0.01120	682.10197
33	15.85615	2.32508	15.26804	2.01762	908.037	0.03709	28.80126	14550.738	1018.0	0.01626	1.174	0	0.41600	0.02995	655.88938
34	4.58159	2.57243	2.65756	1.30565	726.133	0.41995	6.79863	49293.244	332.5	0.05534	5.282	1	0.81058	0.14189	223.49794
35	10.70143	2.56294	8.15023	1.74241	684.852	0.23840	15.99760	19757.626	826.4	0.05744	5.783	1	0.75624	0.12096	180.13122
36	5.45942	2.52362	3.50784	1.40532	1318.172	0.35747	8.41764	72272.766	222.5	0.01978	1.051	1	0.93475	0.19694	2337.62714
37	3.51768	1.96456	3.16576	1.36947	875.418	0.10004	8.94984	45143.329	277.3	0.02653	2.052	1	0.59208	0.06890	513.46120
38	2.79321	2.32984	1.93377	1.19781	1068.545	0.30769	5.05290	97599.005	152.1	0.01932	1.230	1	0.63552	0.08108	1118.27731
39	18.48109	3.07139	10.66316	1.85817	937.512	0.42302	19.23751	22491.643	870.0	0.04036	3.021	1	0.96054	0.20966	593.87480
40	3.30137	2.08704	2.74676	1.31747	750.884	0.16799	7.44260	46563.017	285.6	0.02750	2.436	1	0.46774	0.04006	296.26468
41	5.15278	2.71127	2.58732	1.29635	764.428	0.49788	6.88317	51255.590	337.0	0.04268	3.829	1	0.70707	0.10363	284.65997
42	2.62863	1.61057	2.60152	1.29823	679.995	0.01031	9.95089	31538.191	325.3	0.04085	4.047	1	0.55533	0.05946	190.18495
43	12.44249	3.04975	5.70914	1.59618	621.824	0.54116	13.13622	21846.917	889.4	0.09017	10.166	1	0.94625	0.20256	115.38887
44	9.85785	2.01734	9.78958	1.81793	1482.825	0.00693	23.78561	28771.904	446.7	0.01094	0.505	1	0.68510	0.09637	4064.43435
45	11.98118	2.79760	7.62788	1.71447	981.862	0.36335	15.03212	30145.556	591.2	0.03230	2.290	1	0.85774	0.16160	736.07002
46	15.84939	2.73824	12.05568	1.90866	877.965	0.23936	20.75683	19521.307	893.7	0.04907	3.939	1	1.01564	0.23836	450.14773
47	4.23126	1.81520	4.08201	1.46548	613.635	0.03527	12.60991	22459.032	514.9	0.00602	0.412	0	0.17105	0.00086	211.94394
48	17.18547	3.17836	7.98938	1.73500	909.116	0.53511	16.70494	25116.982	806.2	0.01082	0.705	0	0.33976	0.01333	726.40301
49	14.05865	2.84593	9.12478	1.78730	612.908	0.35095	17.04456	16595.960	1092.5	0.02246	2.140	0	0.33004	0.01187	152.19423
50	19.05060	2.97493	12.50075	1.92422	843.266	0.34381	21.13707	18412.504	1029.4	0.00209	0.094	0	0.13867	0.00037	841.08296
51	4.80262	2.72285	2.32838	1.26204	507.338	0.51519	6.36094	36810.299	471.3	0.07568	10.069	1	0.57039	0.06323	58.50650
52	15.41388	2.62221	12.68962	1.93082	1219.988	0.17674	22.01248	25578.771	653.1	0.01868	1.058	1	0.77707	0.12876	1800.90793
53	1.01240	3.03143	0.49291	0.81239	1248.210	0.51313	1.08180	532516.333	36.3	0.01548	0.849	1	0.68683	0.09693	2039.38294
54	17.38342	3.23914	7.36723	1.69846	1170.141	0.57619	16.26922	33194.378	621.7	0.00295	0.122	0	0.22836	0.00272	2423.73699
55	17.60414	2.85722	12.56580	1.92649	1446.553	0.28620	21.17479	31528.847	577.4	0.00820	0.379	1	0.51059	0.04901	3984.47174
56	7.83198	2.95826	3.15037	1.36786	1279.288	0.59776	8.78797	67185.086	280.5	0.01101	0.578	1	0.53322	0.05415	2408.80218
